               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  12,            0.053037,            0.033193,           0.0082027,             0.84372,             0.49234,             0.51972,             0.21452,            0.044807,             0.03074,           0.0089869,           0.0055602,           0.0055602,             0.04976
                  13,             0.04991,            0.031817,           0.0077668,             0.71862,             0.49516,             0.47953,             0.19822,             0.04878,            0.030577,           0.0085133,            0.005985,            0.005985,            0.045885
                  14,            0.047357,             0.03155,           0.0071839,             0.81806,             0.49036,             0.53891,             0.28328,            0.040547,             0.02962,           0.0082633,           0.0064089,           0.0064089,            0.042009
                  15,            0.045252,            0.029987,           0.0073833,             0.91287,             0.50796,             0.58115,             0.27674,            0.039707,            0.030139,           0.0080094,           0.0068319,           0.0068319,            0.038132
                  16,            0.044548,            0.031222,             0.00731,             0.90578,             0.52791,             0.60753,             0.29589,            0.037876,            0.029192,           0.0074077,            0.007254,            0.007254,            0.034254
                  17,            0.040953,            0.029514,           0.0066609,             0.88081,              0.4983,             0.56033,             0.30694,            0.035418,            0.029492,           0.0076766,            0.007675,            0.007675,            0.030375
                  18,            0.042309,            0.029368,           0.0066748,             0.82995,             0.53365,              0.5642,             0.30585,            0.034759,            0.029531,           0.0077366,            0.008095,            0.008095,            0.026495
                  19,            0.042833,            0.029804,           0.0069945,             0.82836,             0.50635,             0.54084,             0.27578,            0.040194,            0.029419,           0.0075902,           0.0085137,           0.0085137,            0.022614
                  20,            0.044158,            0.028955,           0.0069935,             0.89679,             0.43117,             0.54666,             0.28367,            0.044014,            0.030539,           0.0079987,           0.0089313,           0.0089313,            0.018731
                  21,            0.042506,            0.030127,             0.00662,              0.8999,             0.49035,             0.59175,             0.30897,             0.03527,            0.030682,           0.0084571,           0.0093476,           0.0093476,            0.014848
                  22,            0.043285,            0.030412,           0.0067925,             0.91385,             0.47379,             0.57215,             0.28631,            0.040767,            0.031329,           0.0084521,           0.0097625,           0.0097625,            0.010963
                  23,            0.039785,            0.030995,           0.0069795,             0.92834,             0.46662,             0.60359,             0.33509,            0.036023,            0.030441,           0.0087482,           0.0098701,           0.0098701,           0.0098701
                  24,            0.039031,            0.028741,           0.0064515,             0.55874,              0.6282,              0.6309,             0.33235,            0.037659,            0.030946,            0.007743,           0.0098701,           0.0098701,           0.0098701
                  25,             0.03786,            0.028604,           0.0055927,             0.65304,             0.64165,             0.63802,             0.36001,            0.034476,            0.030362,           0.0073277,           0.0098586,           0.0098586,           0.0098586
                  26,            0.036417,            0.028674,           0.0061006,             0.65484,             0.69091,             0.68897,             0.38081,            0.035523,            0.029482,           0.0069053,           0.0098467,           0.0098467,           0.0098467
                  27,            0.036436,            0.028735,           0.0051476,             0.87225,             0.62661,             0.69968,             0.41875,             0.03291,            0.030869,           0.0068688,           0.0098342,           0.0098342,           0.0098342
                  28,            0.034889,            0.029297,           0.0046159,             0.78892,             0.66583,             0.68687,             0.41358,            0.031918,            0.028582,            0.006546,           0.0098213,           0.0098213,           0.0098213
                  29,            0.032543,            0.027691,           0.0045276,             0.83893,             0.63696,             0.70475,             0.39201,            0.032558,            0.028515,           0.0064986,           0.0098079,           0.0098079,           0.0098079
                  30,            0.033138,            0.027328,           0.0045267,             0.83105,             0.65681,             0.72184,             0.41351,            0.031822,            0.028941,           0.0058885,           0.0097941,           0.0097941,           0.0097941
                  31,            0.032762,            0.026155,             0.00417,             0.81985,             0.61439,             0.66975,             0.36573,            0.032689,            0.030646,           0.0066647,           0.0097798,           0.0097798,           0.0097798
                  32,            0.030991,            0.028296,            0.003863,              0.8373,             0.67225,             0.72796,             0.42214,             0.03196,            0.030019,           0.0060656,            0.009765,            0.009765,            0.009765
                  33,             0.03232,            0.026553,           0.0033628,             0.91128,             0.60069,             0.67333,             0.41453,             0.03043,            0.030633,           0.0071301,           0.0097497,           0.0097497,           0.0097497
                  34,            0.030959,            0.026215,           0.0033768,             0.95968,             0.65405,             0.73756,             0.43636,             0.03171,            0.030337,           0.0060016,            0.009734,            0.009734,            0.009734
                  35,            0.030985,            0.027194,           0.0035016,             0.82046,             0.68456,             0.70884,              0.4209,            0.030283,            0.029476,           0.0067602,           0.0097178,           0.0097178,           0.0097178
                  36,            0.028484,            0.025309,           0.0030499,             0.89682,             0.67559,             0.73406,             0.44352,            0.031004,            0.029123,           0.0060142,           0.0097011,           0.0097011,           0.0097011
                  37,            0.028176,            0.025919,           0.0028547,             0.92227,             0.66969,             0.76067,             0.46694,             0.02927,            0.028825,           0.0057735,            0.009684,            0.009684,            0.009684
                  38,            0.031437,            0.027077,           0.0028651,             0.79925,             0.69697,             0.73869,             0.43885,            0.030235,            0.030122,           0.0059668,           0.0096664,           0.0096664,           0.0096664
                  39,            0.029468,            0.025788,           0.0028147,             0.87732,             0.68927,             0.74886,             0.45509,            0.029806,            0.029822,           0.0060602,           0.0096484,           0.0096484,           0.0096484
                  40,            0.027697,            0.025106,           0.0029678,             0.91151,             0.65752,             0.75124,             0.47095,            0.028717,            0.029239,           0.0061692,           0.0096299,           0.0096299,           0.0096299
                  41,            0.027233,            0.024869,           0.0024713,             0.84607,             0.63684,             0.71898,             0.45792,            0.028703,            0.029977,           0.0068257,            0.009611,            0.009611,            0.009611
                  42,            0.026332,            0.024868,           0.0026566,             0.84938,             0.63788,               0.692,             0.42329,            0.029801,             0.03209,           0.0062733,           0.0095916,           0.0095916,           0.0095916
                  43,            0.028357,            0.024985,           0.0024385,             0.77474,             0.68758,              0.7077,             0.44871,            0.029948,            0.030618,           0.0055495,           0.0095717,           0.0095717,           0.0095717
                  44,            0.026879,            0.023765,           0.0023122,             0.83556,             0.68629,             0.73157,             0.43879,            0.030254,            0.030296,           0.0058144,           0.0095514,           0.0095514,           0.0095514
                  45,            0.027173,            0.025487,           0.0023786,             0.92691,             0.64975,             0.73438,             0.46586,            0.028745,            0.030798,           0.0057661,           0.0095307,           0.0095307,           0.0095307
                  46,            0.027072,            0.022924,           0.0023026,             0.93579,             0.61564,             0.70374,             0.43401,             0.02867,            0.030712,            0.006375,           0.0095095,           0.0095095,           0.0095095
                  47,            0.028122,            0.024674,           0.0025473,             0.79421,             0.67274,              0.7139,             0.43519,            0.029001,            0.028674,           0.0067548,           0.0094879,           0.0094879,           0.0094879
                  48,            0.026035,            0.024753,            0.002151,             0.80594,             0.66338,               0.728,             0.45123,            0.029683,            0.029655,           0.0061036,           0.0094659,           0.0094659,           0.0094659
                  49,            0.025707,            0.024142,           0.0022565,             0.91893,              0.6519,             0.76551,             0.48257,            0.028085,            0.030894,           0.0048289,           0.0094434,           0.0094434,           0.0094434
                  50,            0.027401,            0.024988,           0.0025071,             0.81437,             0.63881,             0.72257,              0.4565,            0.028566,            0.031076,           0.0056914,           0.0094205,           0.0094205,           0.0094205
                  51,            0.026679,            0.023311,           0.0023547,              0.8888,             0.73016,             0.78177,             0.47037,            0.028349,            0.028915,            0.005796,           0.0093971,           0.0093971,           0.0093971
                  52,            0.025576,            0.024004,           0.0023733,             0.90134,             0.67602,             0.72491,             0.44056,            0.029199,            0.030626,           0.0059756,           0.0093733,           0.0093733,           0.0093733
                  53,            0.025911,            0.024181,           0.0021819,             0.78439,             0.69306,             0.71034,             0.44199,            0.028364,            0.031623,           0.0071577,           0.0093491,           0.0093491,           0.0093491
                  54,            0.025991,            0.023267,           0.0019886,             0.82862,             0.66971,             0.73829,             0.45485,            0.029465,            0.030702,           0.0064624,           0.0093245,           0.0093245,           0.0093245
                  55,            0.027079,             0.02516,           0.0022449,               0.879,             0.61303,             0.72621,             0.46271,            0.028837,            0.032355,           0.0075928,           0.0092995,           0.0092995,           0.0092995
                  56,            0.025296,             0.02372,           0.0017949,             0.81612,             0.66992,             0.73312,             0.46357,            0.027149,            0.032169,           0.0054566,            0.009274,            0.009274,            0.009274
                  57,            0.025268,            0.024006,           0.0016799,             0.79839,             0.69797,             0.72379,             0.47525,            0.027885,            0.031874,           0.0049173,           0.0092481,           0.0092481,           0.0092481
                  58,            0.026003,            0.023929,           0.0016543,             0.84219,             0.69278,             0.73852,             0.45356,            0.027828,            0.030243,           0.0051097,           0.0092219,           0.0092219,           0.0092219
                  59,            0.025283,            0.023135,            0.001686,             0.80939,             0.75665,             0.76561,             0.49234,            0.027306,            0.030994,           0.0050517,           0.0091952,           0.0091952,           0.0091952
                  60,            0.023745,            0.022986,           0.0018433,             0.77801,             0.68232,             0.73535,             0.46931,            0.027683,            0.029692,           0.0055087,           0.0091681,           0.0091681,           0.0091681
                  61,            0.023415,            0.022024,           0.0017292,             0.79626,             0.67885,             0.72273,             0.46379,            0.027494,            0.030611,           0.0061105,           0.0091406,           0.0091406,           0.0091406
                  62,            0.025955,            0.022753,           0.0017492,             0.86114,             0.66503,             0.73285,             0.46567,            0.028629,            0.030228,           0.0057061,           0.0091127,           0.0091127,           0.0091127
                  63,            0.025392,            0.022827,           0.0015316,             0.90566,             0.67381,             0.75215,             0.48027,            0.027704,            0.030428,           0.0058006,           0.0090844,           0.0090844,           0.0090844
                  64,            0.023535,            0.022514,            0.001445,             0.89389,             0.64494,             0.72441,             0.46051,            0.027966,            0.032563,           0.0058672,           0.0090557,           0.0090557,           0.0090557
                  65,            0.023947,            0.021844,           0.0016194,             0.88566,             0.63005,             0.71834,             0.45381,            0.028421,            0.031445,            0.005918,           0.0090266,           0.0090266,           0.0090266
                  66,            0.024056,             0.02291,           0.0019878,             0.88667,             0.66148,             0.73426,             0.46194,            0.028291,            0.031823,           0.0054652,           0.0089972,           0.0089972,           0.0089972
                  67,            0.024136,            0.023153,           0.0015672,             0.85714,             0.63754,             0.71068,             0.45382,            0.028011,            0.031492,           0.0057324,           0.0089673,           0.0089673,           0.0089673
                  68,            0.023102,            0.022364,           0.0017381,             0.87552,             0.69504,             0.76058,             0.47614,            0.027678,            0.030459,            0.005593,           0.0089371,           0.0089371,           0.0089371
                  69,            0.022228,            0.021918,           0.0019181,             0.77285,             0.71232,             0.70853,               0.464,            0.027428,            0.032078,           0.0062899,           0.0089065,           0.0089065,           0.0089065
                  70,            0.022967,            0.022798,           0.0016807,             0.91133,             0.63396,             0.71973,             0.47274,            0.027297,            0.030837,           0.0064269,           0.0088755,           0.0088755,           0.0088755
                  71,            0.023695,            0.023274,            0.001512,             0.80069,             0.72424,             0.75622,             0.47658,            0.028146,            0.030278,           0.0053821,           0.0088442,           0.0088442,           0.0088442
                  72,             0.02323,            0.020831,           0.0015574,             0.93601,             0.66394,             0.73783,              0.4741,            0.027535,            0.030502,           0.0052481,           0.0088124,           0.0088124,           0.0088124
                  73,             0.02405,            0.024142,           0.0014544,             0.86697,             0.69183,             0.75556,              0.4824,            0.027178,            0.030277,            0.004949,           0.0087804,           0.0087804,           0.0087804
                  74,            0.023204,            0.021969,           0.0014675,             0.94783,              0.6483,             0.73811,             0.46705,             0.02716,            0.031232,           0.0053109,           0.0087479,           0.0087479,           0.0087479
                  75,            0.022828,            0.022246,           0.0014009,             0.93779,             0.65731,             0.73467,             0.47909,            0.027736,            0.032589,           0.0051538,           0.0087151,           0.0087151,           0.0087151
                  76,            0.022962,            0.022379,           0.0015838,             0.92602,             0.68819,             0.74524,             0.48623,            0.027916,            0.032112,           0.0051475,            0.008682,            0.008682,            0.008682
                  77,             0.02305,             0.02041,           0.0014365,              0.8483,             0.68758,             0.74961,             0.47027,            0.028184,            0.032727,           0.0050959,           0.0086485,           0.0086485,           0.0086485
                  78,            0.022122,            0.020789,           0.0015295,             0.85693,             0.68645,             0.73446,             0.47059,            0.027971,            0.032036,            0.005863,           0.0086146,           0.0086146,           0.0086146
                  79,            0.022872,            0.023414,           0.0014102,             0.87297,             0.66404,             0.72872,             0.45332,            0.028037,            0.030649,           0.0052756,           0.0085805,           0.0085805,           0.0085805
                  80,            0.022885,            0.022204,           0.0012835,              0.8911,             0.66792,             0.74153,             0.47202,            0.027951,            0.032002,           0.0057764,           0.0085459,           0.0085459,           0.0085459
                  81,            0.021542,            0.021403,           0.0014119,             0.89695,             0.61752,             0.71184,             0.45554,              0.0276,             0.03249,           0.0067676,           0.0085111,           0.0085111,           0.0085111
                  82,            0.021366,            0.021077,           0.0011846,             0.87697,             0.60602,             0.70336,             0.46467,            0.027478,            0.033119,           0.0061988,           0.0084759,           0.0084759,           0.0084759
                  83,            0.020699,            0.020206,           0.0013514,             0.82431,             0.69031,             0.72634,             0.46057,            0.027689,            0.033693,           0.0061438,           0.0084404,           0.0084404,           0.0084404
                  84,            0.022273,            0.020827,            0.001331,             0.89508,             0.67948,             0.73097,             0.47861,            0.027575,             0.03294,           0.0061134,           0.0084046,           0.0084046,           0.0084046
                  85,            0.022245,            0.020545,           0.0013225,             0.93171,             0.66793,             0.73914,              0.4813,            0.028017,            0.032996,            0.005788,           0.0083684,           0.0083684,           0.0083684
                  86,            0.021983,             0.02173,           0.0013703,             0.92943,              0.6663,             0.74288,             0.46295,            0.028739,             0.03191,           0.0059754,           0.0083319,           0.0083319,           0.0083319
                  87,            0.021311,            0.020655,           0.0014573,             0.80677,             0.66682,             0.71443,             0.44706,            0.028137,            0.034079,           0.0069354,           0.0082952,           0.0082952,           0.0082952
                  88,            0.020782,            0.021476,           0.0011849,             0.81045,             0.65965,             0.71095,             0.44855,            0.027855,            0.032696,           0.0062303,           0.0082581,           0.0082581,           0.0082581
                  89,            0.020747,            0.020387,           0.0011522,             0.84101,             0.59869,              0.6973,             0.44265,            0.027577,            0.033552,           0.0065954,           0.0082207,           0.0082207,           0.0082207
                  90,            0.022097,            0.020425,           0.0013522,             0.79236,              0.6882,             0.72786,             0.47266,            0.027759,            0.031477,           0.0059193,            0.008183,            0.008183,            0.008183
                  91,            0.021537,            0.020944,            0.001295,             0.91332,             0.62949,             0.74001,             0.46325,            0.027396,            0.031909,           0.0056724,            0.008145,            0.008145,            0.008145
                  92,            0.020418,            0.020011,           0.0011263,             0.88638,             0.64154,             0.72048,             0.48262,             0.02746,            0.034125,            0.005548,           0.0081068,           0.0081068,           0.0081068
                  93,            0.019919,             0.02056,           0.0011016,             0.93967,             0.67372,              0.7547,             0.50507,            0.026598,            0.032459,           0.0054633,           0.0080682,           0.0080682,           0.0080682
                  94,            0.020446,            0.022196,           0.0011032,             0.79047,             0.72047,             0.74489,               0.489,            0.026949,            0.032525,           0.0055908,           0.0080294,           0.0080294,           0.0080294
                  95,            0.020258,            0.020422,           0.0012054,             0.88448,             0.68495,             0.74329,              0.4883,            0.026908,            0.032828,            0.005971,           0.0079903,           0.0079903,           0.0079903
                  96,            0.021534,            0.019896,           0.0010738,             0.85248,             0.70676,              0.7436,             0.47198,            0.027146,            0.032683,           0.0061499,           0.0079509,           0.0079509,           0.0079509
                  97,            0.019618,            0.020323,           0.0011616,             0.90899,             0.65807,             0.71957,             0.48069,            0.027321,             0.03342,           0.0051094,           0.0079112,           0.0079112,           0.0079112
                  98,            0.020419,            0.020332,           0.0011227,             0.81349,             0.68087,             0.71793,             0.47227,            0.027373,            0.033385,           0.0055686,           0.0078713,           0.0078713,           0.0078713
                  99,            0.020541,            0.020847,            0.001157,             0.90858,             0.66224,             0.74611,             0.49148,            0.026968,            0.032288,           0.0057015,           0.0078311,           0.0078311,           0.0078311
                 100,            0.021754,            0.021784,           0.0011404,             0.85941,               0.666,             0.73419,             0.47789,            0.027366,            0.032982,           0.0054487,           0.0077907,           0.0077907,           0.0077907
                 101,            0.019226,             0.01884,           0.0011928,             0.88328,             0.68039,             0.74376,             0.48227,            0.027363,            0.032627,           0.0051034,             0.00775,             0.00775,             0.00775
                 102,            0.019591,             0.01925,           0.0012241,               0.862,             0.68762,             0.72023,             0.47996,            0.027437,            0.032893,           0.0056741,           0.0077091,           0.0077091,           0.0077091
                 103,            0.019522,            0.019099,           0.0011013,             0.90079,             0.65408,             0.72564,             0.45463,            0.027678,            0.032898,           0.0063662,           0.0076679,           0.0076679,           0.0076679
                 104,            0.020374,             0.02049,           0.0012521,             0.85786,             0.64313,             0.73655,             0.46847,            0.027883,            0.033467,           0.0053544,           0.0076265,           0.0076265,           0.0076265
                 105,                0.02,            0.020191,           0.0013651,             0.85741,             0.70846,             0.74945,             0.48287,            0.028194,            0.033364,           0.0046708,           0.0075848,           0.0075848,           0.0075848
                 106,            0.019433,             0.01983,           0.0011605,             0.80061,             0.69326,             0.74602,             0.48251,            0.027548,            0.032328,           0.0059583,            0.007543,            0.007543,            0.007543
                 107,            0.020104,            0.019946,           0.0012874,             0.93241,             0.64142,              0.7303,             0.47757,             0.02742,            0.033485,           0.0056787,           0.0075009,           0.0075009,           0.0075009
                 108,            0.019336,            0.019293,          0.00092077,             0.87736,             0.69923,             0.75424,             0.48622,            0.027449,            0.033403,           0.0057286,           0.0074585,           0.0074585,           0.0074585
                 109,            0.019401,            0.019899,           0.0011335,             0.89512,             0.65379,             0.73757,             0.48335,            0.026972,            0.033259,           0.0052775,            0.007416,            0.007416,            0.007416
                 110,            0.019378,            0.018883,           0.0010104,             0.84027,              0.6464,             0.71307,             0.46816,            0.027193,            0.032742,           0.0059649,           0.0073733,           0.0073733,           0.0073733
                 111,            0.018489,            0.018844,           0.0010452,             0.84349,             0.66062,             0.70314,             0.45532,            0.027401,            0.033421,           0.0062714,           0.0073303,           0.0073303,           0.0073303
                 112,            0.018469,            0.019553,          0.00089368,             0.78752,             0.71954,             0.73682,             0.49608,            0.027151,            0.032447,           0.0058284,           0.0072872,           0.0072872,           0.0072872
                 113,            0.018681,            0.018844,          0.00094619,             0.87295,              0.7038,             0.77486,             0.50725,            0.027133,            0.032271,            0.005852,           0.0072438,           0.0072438,           0.0072438
                 114,            0.018696,            0.018786,           0.0010683,             0.83209,              0.6798,             0.74386,             0.49488,            0.026964,            0.031944,           0.0063202,           0.0072003,           0.0072003,           0.0072003
                 115,            0.018314,            0.019588,           0.0010261,             0.79411,             0.70484,             0.72651,             0.47223,             0.02706,            0.032449,           0.0062927,           0.0071566,           0.0071566,           0.0071566
                 116,            0.018639,            0.018322,          0.00097652,             0.87745,             0.66898,             0.73274,             0.47367,            0.027598,            0.033101,           0.0056641,           0.0071127,           0.0071127,           0.0071127
                 117,            0.019338,            0.020338,          0.00090787,             0.88601,             0.62544,             0.72108,              0.4736,            0.027068,            0.032822,           0.0062907,           0.0070686,           0.0070686,           0.0070686
                 118,            0.018994,            0.019523,            0.001146,              0.8007,             0.67114,             0.71519,             0.46629,            0.027138,            0.032691,            0.005897,           0.0070243,           0.0070243,           0.0070243
                 119,            0.019453,              0.0191,           0.0010131,             0.87545,             0.69039,             0.74066,             0.47866,            0.027035,            0.033394,           0.0065322,           0.0069799,           0.0069799,           0.0069799
                 120,            0.018743,            0.017608,           0.0012331,             0.91291,             0.65394,              0.7604,              0.5009,            0.027223,            0.033842,           0.0056432,           0.0069353,           0.0069353,           0.0069353
                 121,            0.017454,            0.018124,           0.0010327,             0.87935,             0.69708,             0.77255,             0.50041,            0.026895,            0.032339,           0.0048921,           0.0068906,           0.0068906,           0.0068906
                 122,            0.017521,            0.017903,          0.00090536,             0.91419,             0.65666,             0.74991,             0.48556,            0.027255,            0.032656,           0.0048419,           0.0068457,           0.0068457,           0.0068457
                 123,            0.018883,             0.01891,           0.0009137,             0.88711,             0.68886,             0.77761,             0.49527,            0.026807,            0.031667,            0.005092,           0.0068006,           0.0068006,           0.0068006
                 124,            0.018644,            0.019036,            0.001009,             0.91146,             0.64082,              0.7516,             0.48382,            0.027105,            0.032067,           0.0051454,           0.0067555,           0.0067555,           0.0067555
                 125,            0.017506,            0.018279,          0.00093379,             0.84789,             0.72436,             0.76802,             0.51076,            0.026585,             0.03212,           0.0051026,           0.0067101,           0.0067101,           0.0067101
                 126,            0.017901,            0.019178,          0.00090844,             0.94651,             0.66965,              0.7629,             0.49324,            0.027107,            0.033822,            0.005216,           0.0066647,           0.0066647,           0.0066647
                 127,            0.018763,            0.018144,          0.00089094,              0.9035,             0.69059,             0.77448,             0.49235,            0.026741,            0.032979,            0.005144,           0.0066191,           0.0066191,           0.0066191
                 128,            0.017511,            0.018241,           0.0009486,             0.87699,             0.66785,             0.72826,             0.46513,            0.027059,            0.033744,           0.0054697,           0.0065734,           0.0065734,           0.0065734
                 129,             0.01665,            0.017455,          0.00092263,             0.89783,             0.66944,             0.74751,             0.47899,            0.026952,            0.034199,           0.0053907,           0.0065276,           0.0065276,           0.0065276
                 130,            0.017895,            0.018546,          0.00099348,             0.94067,             0.65162,             0.74464,             0.48594,            0.026784,            0.032942,           0.0054371,           0.0064816,           0.0064816,           0.0064816
                 131,            0.016864,            0.017998,          0.00092971,             0.87736,             0.68038,              0.7439,              0.4829,            0.027058,            0.034316,           0.0055172,           0.0064356,           0.0064356,           0.0064356
                 132,            0.016642,            0.017892,           0.0011012,             0.85727,             0.68619,              0.7468,             0.48772,             0.02669,            0.033967,           0.0049475,           0.0063895,           0.0063895,           0.0063895
                 133,            0.017054,            0.018432,           0.0008952,             0.78027,              0.7034,             0.72235,             0.47073,            0.027059,            0.033831,           0.0051929,           0.0063432,           0.0063432,           0.0063432
                 134,            0.017968,            0.017017,          0.00099991,             0.81678,              0.7012,              0.7383,             0.47691,            0.027215,            0.034041,           0.0050865,           0.0062969,           0.0062969,           0.0062969
                 135,            0.017211,            0.017577,          0.00093634,             0.89669,             0.68959,             0.75306,             0.48713,            0.027034,            0.033677,           0.0053629,           0.0062505,           0.0062505,           0.0062505
                 136,            0.017047,            0.017866,          0.00081448,             0.89203,             0.66759,             0.73112,             0.47006,            0.027539,            0.034302,           0.0057249,            0.006204,            0.006204,            0.006204
                 137,            0.016519,            0.016705,          0.00085043,             0.88252,              0.6448,             0.73173,             0.48328,            0.026765,             0.03467,           0.0066643,           0.0061574,           0.0061574,           0.0061574
                 138,            0.016937,            0.016779,          0.00093635,             0.84506,             0.67267,             0.72627,             0.47501,            0.026759,            0.035335,             0.00591,           0.0061107,           0.0061107,           0.0061107
                 139,            0.016982,            0.017818,          0.00089068,             0.86004,             0.69529,             0.73649,              0.4888,            0.026738,            0.035518,           0.0056422,            0.006064,            0.006064,            0.006064
                 140,            0.017122,            0.017911,          0.00084662,             0.83788,             0.70275,             0.72627,             0.46818,            0.027406,            0.035455,           0.0060568,           0.0060172,           0.0060172,           0.0060172
                 141,            0.016632,            0.017051,          0.00092001,             0.78825,             0.69316,             0.71855,             0.47732,            0.027129,            0.034891,           0.0056029,           0.0059704,           0.0059704,           0.0059704
                 142,            0.016934,            0.017288,           0.0010472,             0.81848,             0.68076,             0.70758,             0.46524,            0.027493,            0.035643,           0.0061379,           0.0059235,           0.0059235,           0.0059235
                 143,            0.015558,            0.016896,          0.00091757,              0.8866,             0.63764,             0.71533,             0.47248,            0.027034,               0.035,           0.0063192,           0.0058766,           0.0058766,           0.0058766
                 144,            0.015939,            0.017325,          0.00096719,             0.85844,             0.67444,             0.71941,             0.48038,            0.026968,            0.035626,           0.0059029,           0.0058296,           0.0058296,           0.0058296
                 145,            0.016396,             0.01691,          0.00093317,             0.89879,             0.60827,             0.71306,             0.46932,            0.026409,            0.034724,           0.0064149,           0.0057826,           0.0057826,           0.0057826
                 146,            0.016018,             0.01685,          0.00097674,             0.83226,             0.67223,             0.71456,             0.47041,            0.026525,            0.035064,           0.0057534,           0.0057355,           0.0057355,           0.0057355
                 147,            0.016989,            0.017965,          0.00087969,             0.83209,             0.69127,              0.7469,             0.47603,            0.026638,            0.033819,           0.0056613,           0.0056884,           0.0056884,           0.0056884
                 148,             0.01537,            0.017159,          0.00081506,             0.82734,             0.66355,             0.72854,             0.47292,            0.026942,            0.034835,           0.0052976,           0.0056413,           0.0056413,           0.0056413
                 149,            0.016294,            0.017546,           0.0009674,             0.84285,             0.64783,             0.71069,             0.46967,            0.027157,            0.035214,           0.0066178,           0.0055942,           0.0055942,           0.0055942
                 150,            0.016373,            0.016505,          0.00077295,             0.83593,             0.69098,             0.73052,             0.48303,             0.02684,            0.033927,           0.0060026,           0.0055471,           0.0055471,           0.0055471
                 151,            0.016086,            0.016947,          0.00085618,             0.86273,             0.67892,             0.72851,             0.47868,            0.026878,             0.03424,           0.0063315,              0.0055,              0.0055,              0.0055
                 152,            0.014711,            0.016529,          0.00086498,             0.73443,             0.69808,             0.70832,             0.46984,            0.026504,            0.034022,           0.0065907,           0.0054529,           0.0054529,           0.0054529
                 153,            0.015208,            0.016096,          0.00079677,             0.85599,             0.65897,             0.74487,             0.48075,            0.026666,            0.034123,           0.0061604,           0.0054058,           0.0054058,           0.0054058
                 154,            0.015303,            0.015689,          0.00082025,             0.84637,             0.67137,                0.72,             0.47483,            0.026959,            0.035797,           0.0056859,           0.0053587,           0.0053587,           0.0053587
                 155,             0.01592,            0.016655,           0.0007217,             0.84572,             0.65889,             0.72187,             0.46234,            0.027327,            0.036249,           0.0063288,           0.0053116,           0.0053116,           0.0053116
                 156,            0.016046,            0.017476,          0.00093779,             0.83421,             0.71082,             0.74369,             0.47974,            0.026988,             0.03498,           0.0053697,           0.0052645,           0.0052645,           0.0052645
                 157,            0.015609,            0.017472,          0.00087007,             0.89449,             0.67239,             0.73537,             0.48009,            0.026901,            0.035066,           0.0052217,           0.0052174,           0.0052174,           0.0052174
                 158,            0.016147,            0.017527,          0.00078959,             0.84547,             0.68496,             0.72333,             0.47538,            0.027246,            0.035031,           0.0055959,           0.0051704,           0.0051704,           0.0051704
