               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11073,            0.057814,            0.038124,            0.010004,            0.031363,            0.002324,          0.00046286,            0.097382,            0.061407,            0.032119,             0.00042,             0.00042,             0.09622
                   1,             0.09173,            0.064085,            0.027855,             0.73385,            0.068199,            0.035648,           0.0078373,            0.081211,            0.057773,            0.021709,          0.00084998,          0.00084998,             0.09235
                   2,            0.075784,            0.054681,             0.02154,             0.82898,             0.13333,             0.13625,            0.038686,            0.065416,            0.044721,            0.017497,           0.0012799,           0.0012799,             0.08848
                   3,             0.06624,            0.046435,            0.019157,             0.85769,              0.1249,             0.15441,            0.045029,            0.075138,            0.036818,            0.016707,           0.0017096,           0.0017096,             0.08461
                   4,            0.069054,            0.040074,            0.017422,             0.84449,             0.19617,             0.18649,            0.065927,            0.059628,            0.037104,            0.015854,           0.0021392,           0.0021392,            0.080739
                   5,            0.061209,            0.039029,            0.017197,             0.47596,             0.36771,             0.23492,            0.072606,            0.061526,            0.034155,            0.014784,           0.0025684,           0.0025684,            0.076868
                   6,            0.058671,            0.037857,            0.015771,             0.69949,             0.37908,             0.37803,             0.14309,            0.047869,            0.033052,            0.012783,           0.0029973,           0.0029973,            0.072997
                   7,            0.055122,            0.035349,             0.01267,              0.6192,             0.43847,             0.30887,              0.1094,            0.048407,            0.032303,            0.010704,           0.0034259,           0.0034259,            0.069126
                   8,            0.052605,            0.033572,            0.010497,             0.66067,             0.50323,             0.42027,             0.15881,            0.046661,            0.030876,           0.0096268,           0.0038539,           0.0038539,            0.065254
                   9,            0.049725,            0.032791,           0.0090989,             0.71072,             0.48566,              0.4575,             0.16923,            0.044291,            0.030699,           0.0089131,           0.0042814,           0.0042814,            0.061381
                  10,            0.049372,            0.033659,           0.0085223,             0.74558,             0.46577,             0.44041,             0.20297,            0.041825,            0.030198,           0.0088397,           0.0047084,           0.0047084,            0.057508
                  11,            0.047383,            0.033534,           0.0085762,             0.71133,             0.47286,              0.4355,             0.16689,            0.044841,            0.030199,           0.0090896,           0.0051346,           0.0051346,            0.053635
